Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Tai Tuivasa,0,15,24,62%,18,27,0,0,---,0,0,0:00,9,17,1,2,5,5,8,17,7,7,0,0,L
Marcin Tybura,0,27,41,65%,73,96,1,4,25%,1,0,2:48,23,34,4,7,0,0,8,20,0,0,19,21,W
Bryan Battle,0,27,75,36%,28,78,1,2,50%,0,0,1:33,16,56,10,18,1,1,24,69,3,5,0,1,NC
Ange Loosa,0,23,54,42%,26,58,0,1,0%,0,0,0:00,6,34,8,9,9,11,22,53,1,1,0,0,NC
Bryan Battle,0,27,75,36%,28,78,1,2,50%,0,0,1:33,16,56,10,18,1,1,24,69,3,5,0,1,NC
Ange Loosa,0,23,54,42%,26,58,0,1,0%,0,0,0:00,6,34,8,9,9,11,22,53,1,1,0,0,NC
Ovince Saint Preux,1,143,276,51%,143,276,0,2,0%,0,0,0:06,98,223,32,39,13,14,131,262,11,13,1,1,W
Kennedy Nzechukwu,0,106,250,42%,106,250,0,1,0%,0,0,0:08,85,213,19,35,2,2,93,235,13,15,0,0,L
Christian Rodriguez,0,48,76,63%,97,135,0,0,---,0,0,3:19,43,71,4,4,1,1,21,40,10,10,17,26,W
Isaac Dulgarian,0,22,44,50%,56,89,7,16,43%,2,0,9:22,17,39,2,2,3,3,14,34,1,1,7,9,L
Pannie Kianzad,0,2,6,33%,29,35,1,2,50%,0,0,0:52,1,5,0,0,1,1,2,4,0,1,0,1,L
Macy Chiasson,0,4,10,40%,5,11,2,2,100%,1,1,2:28,3,8,1,2,0,0,3,9,1,1,0,0,W
Gerald Meerschaert,0,11,17,64%,30,36,3,7,42%,2,0,5:03,7,12,2,3,2,2,11,17,0,0,0,0,W
Bryan Barberena,0,12,37,32%,25,50,0,0,---,0,0,0:03,9,29,0,0,3,8,10,34,0,0,2,3,L
Natan Levy,0,8,9,88%,18,20,1,1,100%,0,0,0:34,2,3,5,5,1,1,5,6,0,0,3,3,L
Mike Davis,1,3,7,42%,10,15,0,0,---,1,0,5:11,3,6,0,1,0,0,1,2,0,0,2,5,W
Josiane Nunes,0,47,105,44%,49,108,0,0,---,0,0,0:26,37,85,9,19,1,1,43,101,4,4,0,0,L
Chelsea Chandler,0,58,130,44%,100,176,2,2,100%,0,0,7:02,43,107,13,21,2,2,43,106,2,3,13,21,W
Jafel Filho,0,21,35,60%,43,66,1,1,100%,2,0,3:21,18,31,2,2,1,2,3,7,0,0,18,28,W
Ode Osbourne,0,0,5,0%,1,6,0,0,---,0,0,0:04,0,4,0,1,0,0,0,5,0,0,0,0,L
Josh Culibao,0,87,202,43%,89,205,0,4,0%,0,0,0:03,59,168,20,26,8,8,86,199,1,3,0,0,L
Danny Silva,0,45,107,42%,56,119,4,9,44%,1,0,5:28,28,82,11,18,6,7,44,106,1,1,0,0,W
Jaqueline Amorim,0,3,5,60%,3,5,0,0,---,4,0,0:00,1,3,2,2,0,0,2,4,0,0,1,1,W
Cory McKenna,0,4,11,36%,8,17,1,1,100%,0,0,0:56,1,7,0,0,3,4,3,10,1,1,0,0,L
Thiago Moises,1,25,39,64%,53,72,2,2,100%,1,0,6:36,10,23,3,4,12,12,17,30,2,2,6,7,W
Mitch Ramirez,0,16,48,33%,28,65,0,0,---,0,0,0:21,4,32,5,7,7,9,13,45,3,3,0,0,L
Charalampos Grigoriou,0,21,65,32%,26,70,4,5,80%,0,0,5:24,16,53,2,7,3,5,21,64,0,0,0,1,L
Chad Anheliger,0,85,155,54%,144,220,0,2,0%,0,0,1:34,57,122,10,13,18,20,68,137,12,12,5,6,W
Sean O'Malley,0,230,356,64%,232,358,0,0,---,0,0,0:03,150,268,61,68,19,20,227,352,3,4,0,0,W
Marlon Vera,0,89,241,36%,89,241,0,0,---,0,0,0:00,41,165,14,35,34,41,85,235,4,6,0,0,L
Dustin Poirier,1,28,34,82%,30,37,0,1,0%,4,0,0:31,24,30,3,3,1,1,23,25,4,8,1,1,W
Benoit Saint Denis,0,50,74,67%,69,97,3,7,42%,1,0,4:53,25,46,18,20,7,8,17,37,31,35,2,2,L
Kevin Holland,0,29,61,47%,64,99,2,5,40%,1,0,4:22,11,37,4,6,14,18,18,47,4,5,7,9,L
Michael Page,0,41,62,66%,59,81,0,3,0%,0,0,1:26,28,47,8,10,5,5,38,58,2,3,1,1,W
Gilbert Burns,0,27,58,46%,31,63,7,11,63%,0,0,5:07,16,43,8,11,3,4,23,52,3,5,1,1,L
Jack Della Maddalena,1,67,123,54%,85,146,0,1,0%,0,0,0:16,54,104,9,15,4,4,47,100,4,6,16,17,W
Petr Yan,0,99,183,54%,129,217,2,5,40%,0,0,1:47,68,142,22,31,9,10,86,170,4,4,9,9,W
Song Yadong,0,86,172,50%,104,192,1,8,12%,0,0,1:40,71,147,9,15,6,10,79,164,5,6,2,2,L
Curtis Blaydes,0,16,25,64%,19,28,0,0,---,0,0,0:09,16,25,0,0,0,0,0,5,0,0,16,20,W
Jailton Almeida,0,1,3,33%,9,11,9,13,69%,0,0,4:39,1,3,0,0,0,0,1,3,0,0,0,0,L
Katlyn Cerminara,0,66,152,43%,99,186,1,6,16%,0,0,2:52,44,122,21,27,1,3,43,124,23,28,0,0,L
Maycee Barber,0,84,150,56%,122,189,4,4,100%,0,0,4:45,59,121,18,22,7,7,44,107,36,39,4,4,W
Mateusz Gamrot,0,57,102,55%,111,163,11,19,57%,0,0,7:01,48,90,9,12,0,0,46,88,6,8,5,6,W
Rafael Dos Anjos,1,36,78,46%,39,82,0,0,---,0,0,0:11,24,61,5,9,7,8,26,67,7,8,3,3,L
Pedro Munhoz,0,52,140,37%,52,140,1,8,12%,0,0,0:24,23,99,17,24,12,17,48,134,3,5,1,1,L
Kyler Phillips,0,114,275,41%,115,276,0,0,---,0,0,0:02,74,224,17,24,23,27,111,269,2,5,1,1,W
Ion Cutelaba,0,47,97,48%,119,171,0,1,0%,0,0,0:16,33,82,9,9,5,6,42,90,5,7,0,0,L
Philipe Lins,0,67,115,58%,73,121,2,7,28%,0,0,5:34,37,82,7,9,23,24,57,100,5,8,5,7,W
Michel Pereira,0,11,15,73%,11,15,0,0,---,1,0,0:18,5,9,6,6,0,0,9,13,2,2,0,0,W
Michal Oleksiejczuk,0,1,4,25%,1,4,0,0,---,0,0,0:00,0,3,1,1,0,0,1,4,0,0,0,0,L
Robelis Despaigne,1,7,9,77%,7,9,0,0,---,0,0,0:02,7,9,0,0,0,0,5,7,0,0,2,2,W
Josh Parisian,0,2,5,40%,2,5,0,0,---,0,0,0:00,1,4,1,1,0,0,2,5,0,0,0,0,L
CJ Vergara,0,29,53,54%,66,92,0,0,---,0,0,0:14,13,32,14,17,2,4,22,46,4,4,3,3,L
Asu Almabayev,0,44,77,57%,85,132,9,14,64%,0,0,9:32,22,53,9,11,13,13,23,51,8,10,13,16,W
Joanne Wood,0,136,249,54%,173,290,1,1,100%,0,0,0:12,74,175,39,45,23,29,112,216,23,31,1,2,W
Maryna Moroz,0,102,195,52%,156,255,1,2,50%,0,0,6:11,79,160,23,33,0,2,79,169,19,22,4,4,L
Jairzinho Rozenstruik,0,127,215,59%,140,230,0,1,0%,0,0,0:01,78,158,30,37,19,20,123,209,4,6,0,0,W
Shamil Gaziev,0,22,68,32%,27,75,1,7,14%,0,0,4:32,16,59,5,8,1,1,17,60,4,6,1,2,L
Vitor Petrino,0,27,75,36%,33,82,3,5,60%,0,0,5:24,16,59,4,8,7,8,25,72,0,0,2,3,W
Tyson Pedro,0,30,60,50%,33,64,0,2,0%,0,0,0:10,3,29,11,15,16,16,29,59,1,1,0,0,L
Alex Perez,0,30,87,34%,47,114,0,0,---,0,0,3:44,22,73,3,5,5,9,19,74,2,3,9,10,L
